level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	720	1600	-1	
2	1	1	0	0	0	567	24	56	21	-1	
3	1	1	1	0	0	567	24	56	21	-1	
4	1	1	1	1	0	567	24	56	21	-1	
5	1	1	1	1	1	567	24	56	21	62.580318	)
2	1	2	0	0	0	0	24	683	73	-1	
3	1	2	1	0	0	0	24	720	56	-1	
4	1	2	1	1	0	39	24	640	24	-1	
5	1	2	1	1	1	39	26	202	22	96.859627	12:20
5	1	2	1	1	2	105	20	9	35	82.642784	|
5	1	2	1	1	3	122	26	94	22	92.392609	24,4KB/s
5	1	2	1	1	4	247	29	2	8	52.049328	A
5	1	2	1	1	5	271	26	14	19	76.031189	4
5	1	2	1	1	6	300	24	16	21	67.474632	©
5	1	2	1	1	7	635	25	44	20	68.849777	=)
4	1	2	1	2	0	0	26	683	71	-1	
5	1	2	1	2	1	0	26	66	71	33.958035	Mar
5	1	2	1	2	2	112	26	66	71	19.895105	6-188
5	1	2	1	2	3	201	26	89	71	36.119198	MAD.
5	1	2	1	2	4	307	26	78	71	15.787392	Ma
5	1	2	1	2	5	414	26	78	71	0.000000	WORR
5	1	2	1	2	6	508	26	37	71	48.243797	Pre
5	1	2	1	2	7	556	30	36	50	51.700874	10
5	1	2	1	2	8	621	26	62	71	0.000000	SeuOO
2	1	3	0	0	0	633	26	3	18	-1	
3	1	3	1	0	0	633	26	3	18	-1	
4	1	3	1	1	0	633	26	3	18	-1	
5	1	3	1	1	1	633	26	3	18	95.000000	 
2	1	4	0	0	0	600	35	14	6	-1	
3	1	4	1	0	0	600	35	14	6	-1	
4	1	4	1	1	0	600	35	14	6	-1	
5	1	4	1	1	1	600	35	14	6	37.682171	)
2	1	5	0	0	0	35	83	678	530	-1	
3	1	5	1	0	0	35	83	678	530	-1	
4	1	5	1	1	0	35	83	648	34	-1	
5	1	5	1	1	1	35	86	32	28	92.705856	<
5	1	5	1	1	2	126	91	43	19	97.013344	sido
