level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	720	1600	-1	
2	1	1	0	0	0	37	25	277	25	-1	
3	1	1	1	0	0	37	25	277	25	-1	
4	1	1	1	1	0	37	25	277	25	-1	
5	1	1	1	1	1	37	28	59	18	96.728043	12:23
5	1	1	1	1	2	105	28	3	21	91.263512	|
5	1	1	1	1	3	116	28	98	22	91.263512	48,7KB/s
5	1	1	1	1	4	221	25	29	25	73.565506	Z
5	1	1	1	1	5	261	28	22	19	86.842216	4
5	1	1	1	1	6	296	26	18	21	65.618141	O
2	1	2	0	0	0	590	27	87	22	-1	
3	1	2	1	0	0	590	27	87	22	-1	
4	1	2	1	1	0	590	27	87	22	-1	
5	1	2	1	1	1	590	27	87	22	49.443153	Zw
2	1	3	0	0	0	0	56	720	23	-1	
3	1	3	1	0	0	0	56	720	23	-1	
4	1	3	1	1	0	0	56	720	23	-1	
5	1	3	1	1	1	0	52	65	39	59.196365	P:0/1
5	1	3	1	1	2	81	52	82	39	6.495743	_dX:00
5	1	3	1	1	3	182	52	82	39	7.909842	 d¥:0.0
5	1	3	1	1	4	308	52	63	39	24.827366	Xv:0.0
5	1	3	1	1	5	386	52	82	39	10.590258	_W:0.0
5	1	3	1	1	6	497	52	82	39	4.073982	Prs:00
5	1	3	1	1	7	591	52	102	39	10.228291	_Size:10
2	1	4	0	0	0	126	91	43	19	-1	
3	1	4	1	0	0	126	91	43	19	-1	
4	1	4	1	1	0	126	91	43	19	-1	
5	1	4	1	1	1	126	91	43	19	96.050316	sido
2	1	5	0	0	0	590	83	24	34	-1	
3	1	5	1	0	0	590	83	24	34	-1	
4	1	5	1	1	0	590	83	24	34	-1	
5	1	5	1	1	1	590	83	24	34	43.747932	¥
2	1	6	0	0	0	52	190	402	25	-1	
3	1	6	1	0	0	52	190	402	25	-1	
4	1	6	1	1	0	52	190	402	25	-1	
5	1	6	1	1	1	52	196	59	14	96.644211	Weitere
5	1	6	1	1	2	117	196	111	14	96.800629	Informationen
5	1	6	1	1	3	234	200	17	10	97.014900	zu
5	1	6	1	1	4	257	196	51	14	97.009315	diesen
5	1	6	1	1	5	315	196	96	17	95.491974	Ergebnissen
5	1	6	1	1	6	430	190	24	25	73.350845	(i)
2	1	7	0	0	0	177	433	110	30	-1	
3	1	7	1	0	0	177	433	110	30	-1	
4	1	7	1	1	0	177	433	110	30	-1	
5	1	7	1	1	1	177	434	69	28	93.086617	Sido
5	1	7	1	1	2	257	433	30	30	92.851677	@
2	1	8	0	0	0	56	444	53	37	-1	
3	1	8	1	0	0	56	444	53	37	-1	
4	1	8	1	1	0	56	444	53	37	-1	
5	1	8	1	1	1	56	444	53	37	0.000000	rv
2	1	9	0	0	0	177	475	49	18	-1	
3	1	9	1	0	0	177	475	49	18	-1	
4	1	9	1	1	0	177	475	49	18	-1	
5	1	9	1	1	1	177	475	49	18	92.908340	@sido
2	1	10	0	0	0	51	484	13	20	-1	
3	1	10	1	0	0	51	484	13	20	-1	
4	1	10	1	1	0	51	484	13	20	-1	
5	1	10	1	1	1	51	484	13	20	92.776779	é
2	1	11	0	0	0	177	503	268	16	-1	
3	1	11	1	0	0	177	503	268	16	-1	
4	1	11	1	1	0	177	503	268	16	-1	
5	1	11	1	1	1	177	504	22	15	89.909119	1,6
5	1	11	1	1	2	205	504	33	13	96.220940	Mio.
5	1	11	1	1	3	244	503	96	14	96.711823	Abonnenten
5	1	11	1	1	4	346	508	4	4	55.232700	+
5	1	11	1	1	5	357	504	29	13	96.813278	214
5	1	11	1	1	6	391	503	54	14	96.678520	Videos
2	1	12	0	0	0	51	576	184	32	-1	
3	1	12	1	0	0	51	576	184	32	-1	
4	1	12	1	1	0	51	576	184	32	-1	
5	1	12	1	1	1	51	576	30	32	87.454308	N
5	1	12	1	1	2	99	586	92	17	70.193733	Abonniert
5	1	12	1	1	3	212	589	23	12	31.928329	V
2	1	13	0	0	0	315	587	135	16	-1	
3	1	13	1	0	0	315	587	135	16	-1	
4	1	13	1	1	0	315	587	135	16	-1	
5	1	13	1	1	1	315	587	50	16	96.663734	Kanal
5	1	13	1	1	2	373	587	77	16	96.614586	aufrufen
2	1	14	0	0	0	524	576	189	37	-1	
